"","year","qtr","state","cnty","own","naics","naics3","naics4","naics5","naics_sector","super_sector","m1emp","m2emp","m3emp","wage","can_agg","rectype","filenumber","primary_key"
"34",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,31,"Y","C","20",2912379
"35",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,18,"Y","C","20",2912380
"36",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,35,"Y","C","20",2912381
"37",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,32,"Y","C","20",2912382
"38",2016,1,44,1,5,236118,236,2361,23611,23,1012,4,4,4,38,"Y","C","20",2912383
"39",2016,1,44,1,5,236118,236,2361,23611,23,1012,1,3,2,16,"Y","C","20",2912384
"40",2016,1,44,1,5,236118,236,2361,23611,23,1012,1,1,1,13,"Y","C","20",2912385
"41",2016,1,44,1,5,236118,236,2361,23611,23,1012,4,4,4,37,"Y","C","20",2912386
"42",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,16,"Y","C","20",2912387
"43",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,28,"Y","C","20",2912388
"44",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,27,"Y","C","20",2912389
"45",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,24,"Y","C","20",2912390
"46",2016,1,44,1,5,236118,236,2361,23611,23,1012,4,4,4,38,"Y","C","20",2912391
"47",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,35,"Y","C","20",2912392
"48",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,19,"Y","C","20",2912393
"49",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,19,"Y","C","20",2912394
"50",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,23,"Y","C","20",2912395
"51",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,25,"Y","C","20",2912396
"52",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,16,"Y","C","20",2912397
"53",2016,1,44,1,5,236118,236,2361,23611,23,1012,1,1,1,11,"Y","C","20",2912398
"54",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,31,"Y","C","20",2912399
"55",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,20,"Y","C","20",2912400
"56",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,20,"Y","C","20",2912401
"57",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,30,"Y","C","20",2912402
"58",2016,1,44,1,5,236118,236,2361,23611,23,1012,5,5,5,49,"Y","C","20",2912403
"59",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,20,"Y","C","20",2912404
"60",2016,1,44,1,5,236118,236,2361,23611,23,1012,5,5,5,49,"Y","C","20",2912405
"61",2016,1,44,1,5,236118,236,2361,23611,23,1012,4,4,4,37,"Y","C","20",2912406
"62",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,21,"Y","C","20",2912407
"63",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,33,"Y","C","20",2912408
"64",2016,1,44,1,5,236118,236,2361,23611,23,1012,1,1,1,16,"Y","C","20",2912409
"65",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,29,"Y","C","20",2912410
"66",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,26,"Y","C","20",2912411
"67",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,23,"Y","C","20",2912412
"68",2016,1,44,1,5,236118,236,2361,23611,23,1012,4,4,4,39,"Y","C","20",2912413
"69",2016,1,44,1,5,236118,236,2361,23611,23,1012,4,4,4,40,"Y","C","20",2912414
"70",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,32,"Y","C","20",2912415
"71",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,33,"Y","C","20",2912416
"72",2016,1,44,1,5,238110,238,2381,23811,23,1012,13,13,14,154,"Y","C","20",2912417
"73",2016,1,44,1,5,238110,238,2381,23811,23,1012,10,10,10,103,"Y","C","20",2912418
"74",2016,1,44,1,5,238130,238,2381,23813,23,1012,1,1,1,11,"Y","C","20",2912419
"75",2016,1,44,1,5,238130,238,2381,23813,23,1012,0,1,1,6,"Y","C","20",2912420
"76",2016,1,44,1,5,238140,238,2381,23814,23,1012,1,1,1,18,"Y","C","20",2912421
"77",2016,1,44,1,5,238140,238,2381,23814,23,1012,1,1,2,17,"Y","C","20",2912422
"78",2016,1,44,1,5,238140,238,2381,23814,23,1012,2,3,3,31,"Y","C","20",2912423
"79",2016,1,44,1,5,238140,238,2381,23814,23,1012,1,1,2,21,"Y","C","20",2912424
"80",2016,1,44,1,5,238140,238,2381,23814,23,1012,2,2,3,37,"Y","C","20",2912425
"81",2016,1,44,1,5,238140,238,2381,23814,23,1012,1,1,1,17,"Y","C","20",2912426
"82",2016,1,44,1,5,238140,238,2381,23814,23,1012,3,3,4,44,"Y","C","20",2912427
"83",2016,1,44,1,5,238140,238,2381,23814,23,1012,2,2,3,30,"Y","C","20",2912428
"84",2016,1,44,1,5,238140,238,2381,23814,23,1012,1,1,1,14,"Y","C","20",2912429
"85",2016,1,44,1,5,238140,238,2381,23814,23,1012,1,1,1,16,"Y","C","20",2912430
"86",2016,1,44,1,5,238140,238,2381,23814,23,1012,1,2,2,23,"Y","C","20",2912431
"87",2016,1,44,1,5,238160,238,2381,23816,23,1012,9,8,6,38,"Y","C","20",2912432
"88",2016,1,44,1,5,238160,238,2381,23816,23,1012,14,11,8,57,"Y","C","20",2912433
"89",2016,1,44,1,5,238170,238,2381,23817,23,1012,2,3,1,28,"Y","C","20",2912434
"90",2016,1,44,1,5,238170,238,2381,23817,23,1012,1,1,2,28,"Y","C","20",2912435
"91",2016,1,44,1,5,238210,238,2382,23821,23,1012,7,7,7,68,"Y","C","20",2912436
"92",2016,1,44,1,5,238210,238,2382,23821,23,1012,3,3,3,30,"Y","C","20",2912437
"93",2016,1,44,1,5,238210,238,2382,23821,23,1012,5,5,5,56,"Y","C","20",2912438
"94",2016,1,44,1,5,238210,238,2382,23821,23,1012,6,6,6,61,"Y","C","20",2912439
"95",2016,1,44,1,5,238210,238,2382,23821,23,1012,3,3,3,26,"Y","C","20",2912440
"96",2016,1,44,1,5,238210,238,2382,23821,23,1012,5,5,5,47,"Y","C","20",2912441
"97",2016,1,44,1,5,238210,238,2382,23821,23,1012,4,4,4,40,"Y","C","20",2912442
"98",2016,1,44,1,5,238210,238,2382,23821,23,1012,8,8,8,79,"Y","C","20",2912443
"99",2016,1,44,1,5,238210,238,2382,23821,23,1012,4,4,4,40,"Y","C","20",2912444
"100",2016,1,44,1,5,238210,238,2382,23821,23,1012,6,6,6,53,"Y","C","20",2912445
"101",2016,1,44,1,5,238210,238,2382,23821,23,1012,7,7,6,64,"Y","C","20",2912446
"102",2016,1,44,1,5,238210,238,2382,23821,23,1012,4,4,4,40,"Y","C","20",2912447
"103",2016,1,44,1,5,238210,238,2382,23821,23,1012,4,4,4,37,"Y","C","20",2912448
"104",2016,1,44,1,5,238210,238,2382,23821,23,1012,6,6,6,56,"Y","C","20",2912449
"105",2016,1,44,1,5,238210,238,2382,23821,23,1012,5,5,5,51,"Y","C","20",2912450
"106",2016,1,44,1,5,238210,238,2382,23821,23,1012,7,6,6,64,"Y","C","20",2912451
"107",2016,1,44,1,5,238210,238,2382,23821,23,1012,8,7,7,74,"Y","C","20",2912452
"108",2016,1,44,1,5,238210,238,2382,23821,23,1012,7,7,7,71,"Y","C","20",2912453
"109",2016,1,44,1,5,238210,238,2382,23821,23,1012,5,5,5,48,"Y","C","20",2912454
"110",2016,1,44,1,5,238210,238,2382,23821,23,1012,6,6,6,62,"Y","C","20",2912455
"111",2016,1,44,1,5,238210,238,2382,23821,23,1012,6,6,6,58,"Y","C","20",2912456
"112",2016,1,44,1,5,238210,238,2382,23821,23,1012,4,4,4,39,"Y","C","20",2912457
"113",2016,1,44,1,5,238220,238,2382,23822,23,1012,5,5,5,56,"Y","C","20",2912458
"114",2016,1,44,1,5,238220,238,2382,23822,23,1012,8,8,8,89,"Y","C","20",2912459
"115",2016,1,44,1,5,238220,238,2382,23822,23,1012,7,7,7,75,"Y","C","20",2912460
"116",2016,1,44,1,5,238220,238,2382,23822,23,1012,8,8,7,83,"Y","C","20",2912461
"117",2016,1,44,1,5,238220,238,2382,23822,23,1012,6,6,6,66,"Y","C","20",2912462
"118",2016,1,44,1,5,238220,238,2382,23822,23,1012,11,11,11,120,"Y","C","20",2912463
"119",2016,1,44,1,5,238220,238,2382,23822,23,1012,7,7,7,80,"Y","C","20",2912464
"120",2016,1,44,1,5,238220,238,2382,23822,23,1012,8,8,8,91,"Y","C","20",2912465
"121",2016,1,44,1,5,238220,238,2382,23822,23,1012,7,6,6,76,"Y","C","20",2912466
"122",2016,1,44,1,5,238220,238,2382,23822,23,1012,8,8,7,86,"Y","C","20",2912467
"123",2016,1,44,1,5,238220,238,2382,23822,23,1012,9,9,9,97,"Y","C","20",2912468
"124",2016,1,44,1,5,238220,238,2382,23822,23,1012,11,10,10,116,"Y","C","20",2912469
"125",2016,1,44,1,5,238220,238,2382,23822,23,1012,6,6,6,70,"Y","C","20",2912470
"126",2016,1,44,1,5,238220,238,2382,23822,23,1012,8,7,7,86,"Y","C","20",2912471
"127",2016,1,44,1,5,238290,238,2382,23829,23,1012,0,0,0,0,"Y","C","20",2912472
"128",2016,1,44,1,5,238290,238,2382,23829,23,1012,0,0,1,1,"Y","C","20",2912473
"129",2016,1,44,1,5,238310,238,2383,23831,23,1012,0,0,1,18,"Y","C","20",2912474
"130",2016,1,44,1,5,238320,238,2383,23832,23,1012,5,5,5,33,"Y","C","20",2912475
"131",2016,1,44,1,5,238320,238,2383,23832,23,1012,3,3,3,19,"Y","C","20",2912476
"132",2016,1,44,1,5,238320,238,2383,23832,23,1012,2,2,2,14,"Y","C","20",2912477
"133",2016,1,44,1,5,238320,238,2383,23832,23,1012,3,4,4,22,"Y","C","20",2912478
"134",2016,1,44,1,5,238320,238,2383,23832,23,1012,4,4,4,25,"Y","C","20",2912479
"135",2016,1,44,1,5,238320,238,2383,23832,23,1012,4,4,4,25,"Y","C","20",2912480
"136",2016,1,44,1,5,238320,238,2383,23832,23,1012,3,3,3,19,"Y","C","20",2912481
"137",2016,1,44,1,5,238320,238,2383,23832,23,1012,2,2,2,14,"Y","C","20",2912482
"138",2016,1,44,1,5,238320,238,2383,23832,23,1012,2,2,3,17,"Y","C","20",2912483
"139",2016,1,44,1,5,238320,238,2383,23832,23,1012,5,5,5,31,"Y","C","20",2912484
"140",2016,1,44,1,5,238320,238,2383,23832,23,1012,3,3,3,17,"Y","C","20",2912485
"141",2016,1,44,1,5,238320,238,2383,23832,23,1012,2,2,3,17,"Y","C","20",2912486
"142",2016,1,44,1,5,238320,238,2383,23832,23,1012,3,4,4,21,"Y","C","20",2912487
"143",2016,1,44,1,5,238320,238,2383,23832,23,1012,3,2,4,22,"Y","C","20",2912488
"144",2016,1,44,1,5,238320,238,2383,23832,23,1012,3,3,3,19,"Y","C","20",2912489
"145",2016,1,44,1,5,238330,238,2383,23833,23,1012,1,1,1,4,"Y","C","20",2912490
"146",2016,1,44,1,5,238330,238,2383,23833,23,1012,1,1,1,4,"Y","C","20",2912491
"147",2016,1,44,1,5,238330,238,2383,23833,23,1012,1,1,1,4,"Y","C","20",2912492
"148",2016,1,44,1,5,238330,238,2383,23833,23,1012,1,1,2,6,"Y","C","20",2912493
"149",2016,1,44,1,5,238350,238,2383,23835,23,1012,4,4,4,18,"Y","C","20",2912494
"150",2016,1,44,1,5,238350,238,2383,23835,23,1012,5,3,4,20,"Y","C","20",2912495
"151",2016,1,44,1,5,238350,238,2383,23835,23,1012,4,4,4,16,"Y","C","20",2912496
"152",2016,1,44,1,5,238350,238,2383,23835,23,1012,2,2,2,10,"Y","C","20",2912497
"153",2016,1,44,1,5,238350,238,2383,23835,23,1012,3,1,2,11,"Y","C","20",2912498
"154",2016,1,44,1,5,238350,238,2383,23835,23,1012,2,2,2,10,"Y","C","20",2912499
"155",2016,1,44,1,5,238350,238,2383,23835,23,1012,2,2,2,8,"Y","C","20",2912500
"156",2016,1,44,1,5,238390,238,2383,23839,23,1012,9,9,11,79,"Y","C","20",2912501
"157",2016,1,44,1,5,238910,238,2389,23891,23,1012,3,3,3,25,"Y","C","20",2912502
"158",2016,1,44,1,5,238910,238,2389,23891,23,1012,3,3,3,30,"Y","C","20",2912503
"159",2016,1,44,1,5,238910,238,2389,23891,23,1012,3,3,3,24,"Y","C","20",2912504
"160",2016,1,44,1,5,238910,238,2389,23891,23,1012,4,4,5,42,"Y","C","20",2912505
"161",2016,1,44,1,5,238910,238,2389,23891,23,1012,2,2,3,23,"Y","C","20",2912506
"162",2016,1,44,1,5,238910,238,2389,23891,23,1012,2,2,2,19,"Y","C","20",2912507
"163",2016,1,44,1,5,238910,238,2389,23891,23,1012,2,2,2,16,"Y","C","20",2912508
"164",2016,1,44,1,5,238910,238,2389,23891,23,1012,3,3,3,22,"Y","C","20",2912509
"165",2016,1,44,1,5,238990,238,2389,23899,23,1012,1,1,1,5,"Y","C","20",2912510
"166",2016,1,44,1,5,238990,238,2389,23899,23,1012,2,2,2,10,"Y","C","20",2912511
"167",2016,1,44,1,5,238990,238,2389,23899,23,1012,1,1,1,4,"Y","C","20",2912512
"168",2016,1,44,1,5,238990,238,2389,23899,23,1012,2,2,2,7,"Y","C","20",2912513
"169",2016,1,44,1,5,238990,238,2389,23899,23,1012,2,2,2,7,"Y","C","20",2912514
"170",2016,1,44,1,5,238990,238,2389,23899,23,1012,2,3,1,6,"Y","C","20",2912515
"171",2016,1,44,1,5,311412,311,3114,31141,31,1013,44,41,37,1000,"Y","C","20",2912516
"172",2016,1,44,1,5,311421,311,3114,31142,31,1013,1,1,1,94,"Y","C","20",2912517
"173",2016,1,44,1,5,314110,314,3141,31411,31,1013,8,7,7,120,"Y","C","20",2912518
"174",2016,1,44,1,5,314120,314,3141,31412,31,1013,10,10,10,229,"Y","C","20",2912519
"175",2016,1,44,1,5,332111,332,3321,33211,33,1013,9,7,7,172,"Y","C","20",2912520
"176",2016,1,44,1,5,332114,332,3321,33211,33,1013,60,56,51,991,"Y","C","20",2912521
"177",2016,1,44,1,5,332119,332,3321,33211,33,1013,2,0,1,6,"Y","C","20",2912522
"178",2016,1,44,1,5,333511,333,3335,33351,33,1013,45,42,39,3137,"Y","C","20",2912523
"179",2016,1,44,1,5,333511,333,3335,33351,33,1013,14,13,12,940,"Y","C","20",2912524
"180",2016,1,44,1,5,333511,333,3335,33351,33,1013,23,21,20,1454,"Y","C","20",2912525
"181",2016,1,44,1,5,333514,333,3335,33351,33,1013,4,4,5,327,"Y","C","20",2912526
"182",2016,1,44,1,5,333994,333,3339,33399,33,1013,19,19,19,3537,"Y","C","20",2912527
"183",2016,1,44,1,5,333999,333,3339,33399,33,1013,20,16,13,3013,"Y","C","20",2912528
"184",2016,1,44,1,5,334510,334,3345,33451,33,1013,2,4,4,15450,"Y","C","20",2912529
"185",2016,1,44,1,5,334514,334,3345,33451,33,1013,42,39,36,52551,"Y","C","20",2912530
"186",2016,1,44,1,5,336611,336,3366,33661,33,1013,17,21,23,261,"Y","C","20",2912531
"187",2016,1,44,1,5,336611,336,3366,33661,33,1013,17,20,22,239,"Y","C","20",2912532
"188",2016,1,44,1,5,336612,336,3366,33661,33,1013,7,7,6,57,"Y","C","20",2912533
"189",2016,1,44,1,5,336612,336,3366,33661,33,1013,18,19,19,158,"Y","C","20",2912534
"190",2016,1,44,1,5,336612,336,3366,33661,33,1013,25,24,24,204,"Y","C","20",2912535
"191",2016,1,44,1,5,336612,336,3366,33661,33,1013,12,12,12,94,"Y","C","20",2912536
"192",2016,1,44,1,5,336612,336,3366,33661,33,1013,38,37,37,321,"Y","C","20",2912537
"193",2016,1,44,1,5,336612,336,3366,33661,33,1013,19,19,19,168,"Y","C","20",2912538
"194",2016,1,44,1,5,336612,336,3366,33661,33,1013,13,13,13,114,"Y","C","20",2912539
"195",2016,1,44,1,5,336612,336,3366,33661,33,1013,22,23,23,188,"Y","C","20",2912540
"196",2016,1,44,1,5,336612,336,3366,33661,33,1013,14,14,15,118,"Y","C","20",2912541
"197",2016,1,44,1,5,336612,336,3366,33661,33,1013,32,32,31,265,"Y","C","20",2912542
"198",2016,1,44,1,5,336612,336,3366,33661,33,1013,18,18,18,155,"Y","C","20",2912543
"199",2016,1,44,1,5,336612,336,3366,33661,33,1013,14,16,16,127,"Y","C","20",2912544
"200",2016,1,44,1,5,336612,336,3366,33661,33,1013,33,33,33,283,"Y","C","20",2912545
"201",2016,1,44,1,5,336612,336,3366,33661,33,1013,13,13,12,107,"Y","C","20",2912546
"202",2016,1,44,1,5,336612,336,3366,33661,33,1013,18,18,18,141,"Y","C","20",2912547
"203",2016,1,44,1,5,337110,337,3371,33711,33,1013,13,13,13,69,"Y","C","20",2912548
"204",2016,1,44,1,5,337122,337,3371,33712,33,1013,15,15,15,107,"Y","C","20",2912549
"205",2016,1,44,1,5,339920,339,3399,33992,33,1013,25,26,27,977,"Y","C","20",2912550
"206",2016,1,44,1,5,339920,339,3399,33992,33,1013,40,43,46,1524,"Y","C","20",2912551
"207",2016,1,44,1,5,339950,339,3399,33995,33,1013,138,143,149,3931,"Y","C","20",2912552
"208",2016,1,44,1,5,339991,339,3399,33999,33,1013,32,34,36,1267,"Y","C","20",2912553
"209",2016,1,44,1,5,339999,339,3399,33999,33,1013,1,2,2,45,"Y","C","20",2912554
"210",2016,1,44,1,5,339999,339,3399,33999,33,1013,2,2,3,77,"Y","C","20",2912555
"211",2016,1,44,1,5,423420,423,4234,42342,42,1021,1,1,1,0,"Y","C","20",2912556
"212",2016,1,44,1,5,423430,423,4234,42343,42,1021,16,14,11,458,"Y","C","20",2912557
"213",2016,1,44,1,5,423440,423,4234,42344,42,1021,6,6,5,114,"Y","C","20",2912558
"214",2016,1,44,1,5,423450,423,4234,42345,42,1021,2,2,2,49,"Y","C","20",2912559
"215",2016,1,44,1,5,423450,423,4234,42345,42,1021,2,3,3,56,"Y","C","20",2912560
"216",2016,1,44,1,5,423710,423,4237,42371,42,1021,8,7,4,1015,"Y","C","20",2912561
"217",2016,1,44,1,5,423710,423,4237,42371,42,1021,10,7,5,1209,"Y","C","20",2912562
"218",2016,1,44,1,5,423720,423,4237,42372,42,1021,0,1,1,170,"Y","C","20",2912563
"219",2016,1,44,1,5,423820,423,4238,42382,42,1021,2,2,2,45,"Y","C","20",2912564
"220",2016,1,44,1,5,423830,423,4238,42383,42,1021,1,1,1,8,"Y","C","20",2912565
"221",2016,1,44,1,5,423830,423,4238,42383,42,1021,1,1,1,15,"Y","C","20",2912566
"222",2016,1,44,1,5,423830,423,4238,42383,42,1021,1,1,1,9,"Y","C","20",2912567
"223",2016,1,44,1,5,423840,423,4238,42384,42,1021,6,3,4,55,"Y","C","20",2912568
"224",2016,1,44,1,5,423840,423,4238,42384,42,1021,5,5,3,53,"Y","C","20",2912569
"225",2016,1,44,1,5,423850,423,4238,42385,42,1021,1,3,3,21,"Y","C","20",2912570
"226",2016,1,44,1,5,423910,423,4239,42391,42,1021,5,5,5,74,"Y","C","20",2912571
"227",2016,1,44,1,5,423910,423,4239,42391,42,1021,3,3,3,45,"Y","C","20",2912572
"228",2016,1,44,1,5,423910,423,4239,42391,42,1021,3,4,4,48,"Y","C","20",2912573
"229",2016,1,44,1,5,423910,423,4239,42391,42,1021,2,2,3,36,"Y","C","20",2912574
"230",2016,1,44,1,5,423930,423,4239,42393,42,1021,3,2,2,32,"Y","C","20",2912575
"231",2016,1,44,1,5,423930,423,4239,42393,42,1021,3,3,2,20,"Y","C","20",2912576
"232",2016,1,44,1,5,423940,423,4239,42394,42,1021,11,14,15,98,"Y","C","20",2912577
"233",2016,1,44,1,5,423990,423,4239,42399,42,1021,10,10,10,64,"Y","C","20",2912578
"234",2016,1,44,1,5,424460,424,4244,42446,42,1021,3,3,3,98,"Y","C","20",2912579
"235",2016,1,44,1,5,424460,424,4244,42446,42,1021,4,3,3,125,"Y","C","20",2912580
"236",2016,1,44,1,5,424470,424,4244,42447,42,1021,0,0,2,50,"Y","C","20",2912581
"237",2016,1,44,1,5,424490,424,4244,42449,42,1021,1,2,2,64,"Y","C","20",2912582
"238",2016,1,44,1,5,424490,424,4244,42449,42,1021,1,1,1,52,"Y","C","20",2912583
"239",2016,1,44,1,5,441110,441,4411,44111,44,1021,12,11,11,470,"Y","C","20",2912584
"240",2016,1,44,1,5,441110,441,4411,44111,44,1021,12,11,11,468,"Y","C","20",2912585
"241",2016,1,44,1,5,441110,441,4411,44111,44,1021,9,9,9,390,"Y","C","20",2912586
"242",2016,1,44,1,5,441120,441,4411,44112,44,1021,1,0,0,5,"Y","C","20",2912587
"243",2016,1,44,1,5,441120,441,4411,44112,44,1021,1,1,0,9,"Y","C","20",2912588
"244",2016,1,44,1,5,441120,441,4411,44112,44,1021,0,0,0,4,"Y","C","20",2912589
"245",2016,1,44,1,5,441310,441,4413,44131,44,1021,9,9,8,53,"Y","C","20",2912590
"246",2016,1,44,1,5,441310,441,4413,44131,44,1021,11,10,9,71,"Y","C","20",2912591
"247",2016,1,44,1,5,441320,441,4413,44132,44,1021,11,10,6,25,"Y","C","20",2912592
"248",2016,1,44,1,5,444120,444,4441,44412,44,1021,8,7,6,18,"Y","C","20",2912593
"249",2016,1,44,1,5,444120,444,4441,44412,44,1021,3,2,2,6,"Y","C","20",2912594
"250",2016,1,44,1,5,444130,444,4441,44413,44,1021,17,18,16,73,"Y","C","20",2912595
"251",2016,1,44,1,5,444190,444,4441,44419,44,1021,7,8,9,45,"Y","C","20",2912596
"252",2016,1,44,1,5,444190,444,4441,44419,44,1021,9,10,10,53,"Y","C","20",2912597
"253",2016,1,44,1,5,444190,444,4441,44419,44,1021,7,7,8,42,"Y","C","20",2912598
"254",2016,1,44,1,5,444190,444,4441,44419,44,1021,5,5,6,29,"Y","C","20",2912599
"255",2016,1,44,1,5,445110,445,4451,44511,44,1021,35,35,33,252,"Y","C","20",2912600
"256",2016,1,44,1,5,445110,445,4451,44511,44,1021,50,52,53,374,"Y","C","20",2912601
"257",2016,1,44,1,5,445110,445,4451,44511,44,1021,35,36,36,261,"Y","C","20",2912602
"258",2016,1,44,1,5,445110,445,4451,44511,44,1021,29,28,27,206,"Y","C","20",2912603
"259",2016,1,44,1,5,445110,445,4451,44511,44,1021,60,59,59,441,"Y","C","20",2912604
"260",2016,1,44,1,5,445110,445,4451,44511,44,1021,39,39,39,289,"Y","C","20",2912605
"261",2016,1,44,1,5,445110,445,4451,44511,44,1021,43,43,44,319,"Y","C","20",2912606
"262",2016,1,44,1,5,445120,445,4451,44512,44,1021,2,2,2,11,"Y","C","20",2912607
"263",2016,1,44,1,5,445120,445,4451,44512,44,1021,2,1,1,8,"Y","C","20",2912608
"264",2016,1,44,1,5,445120,445,4451,44512,44,1021,1,1,1,5,"Y","C","20",2912609
"265",2016,1,44,1,5,445120,445,4451,44512,44,1021,1,1,1,7,"Y","C","20",2912610
"266",2016,1,44,1,5,445120,445,4451,44512,44,1021,1,1,1,5,"Y","C","20",2912611
"267",2016,1,44,1,5,445120,445,4451,44512,44,1021,2,1,1,8,"Y","C","20",2912612
"268",2016,1,44,1,5,445120,445,4451,44512,44,1021,1,1,1,7,"Y","C","20",2912613
"269",2016,1,44,1,5,445210,445,4452,44521,44,1021,5,5,6,527,"Y","C","20",2912614
"270",2016,1,44,1,5,445210,445,4452,44521,44,1021,10,11,11,1176,"Y","C","20",2912615
"271",2016,1,44,1,5,445220,445,4452,44522,44,1021,8,9,6,801,"Y","C","20",2912616
"272",2016,1,44,1,5,522110,522,5221,52211,52,1023,9,9,8,71,"Y","C","20",2912617
"273",2016,1,44,1,5,522110,522,5221,52211,52,1023,6,6,5,47,"Y","C","20",2912618
"274",2016,1,44,1,5,522110,522,5221,52211,52,1023,12,11,11,102,"Y","C","20",2912619
"275",2016,1,44,1,5,522110,522,5221,52211,52,1023,7,7,6,57,"Y","C","20",2912620
"276",2016,1,44,1,5,522110,522,5221,52211,52,1023,18,17,16,149,"Y","C","20",2912621
